Brand,Current_Price,Discount,Original_Price,Product_Name
Kate Spade,175.0,,,Massy
Dolce & Gabbana,364.0,,,DG3399
Guess,104.0,50%,208.0,GU50018
Dolce & Gabbana,240.1,30%,343.0,DG3378
Burberry,228.9,30%,327.0,BE2384
Ray-Ban,210.0,,,RB5397F - Elliot Optics Alternate Fit
Oakley Youth,58.0,50%,116.0,Drop Kick
Kate Spade,195.0,,,Anaya
Gucci,314.5,15%,370.0,GG1536O
Gucci,416.5,15%,490.0,GG1526O
Burberry,421.0,,,BE2421
Versace,316.0,,,VE1233Q
Gucci,416.5,15%,490.0,GG1186O
Burberry,154.5,50%,309.0,BE2386
Gucci,425.0,15%,500.0,GG0738O
Kate Spade,240.0,,,LUELLA/F
Ray-Ban Junior,93.8,30%,134.0,RY1570
Kate Spade,168.0,30%,240.0,NATALY
Burberry,154.5,50%,309.0,BE1369TD
Versace,200.2,30%,286.0,VE3355U
Kate Spade,240.0,,,KATTALIN/F
Gucci,245.0,50%,490.0,GG1183O
Kate Spade,240.0,,,Crishell
Versace,122.5,50%,245.0,VE3220
Guess,154.0,50%,308.0,GM0243
Versace,286.0,,,VE3303
Versace,155.0,50%,310.0,VE3292
Burberry,169.0,50%,338.0,BE2377-Bailey
Kate Spade,245.0,,,HAZEN/F
Gucci,365.5,15%,430.0,GG1428O
Versace,152.0,50%,304.0,VE1255B
Burberry,390.0,,,BE1394
Burberry,137.5,50%,275.0,BE2323
Ray-Ban,210.0,,,RB5398
Ray-Ban,210.0,,,RB6428
Ray-Ban,237.0,,,RB3716VM Clubmaster Metal
Oakley,187.0,,,Plungeline
Gucci,403.75,15%,475.0,GG0799O
Versace,149.0,50%,298.0,VE1288
Gucci,289.0,15%,340.0,GG1573O
Ray-Ban,189.0,,,RB6375
Persol,295.4,30%,422.0,PO3340V
Ray-Ban,235.0,,,RB7199
Persol,185.0,50%,370.0,PO3331V
Gucci,514.25,15%,605.0,GG1530O
Persol,342.0,,,PO2460V
Ray-Ban,274.0,,,RB6594M - Scuderia Ferrari Collection
